numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,2,2019-02-12 15:27:57+00:00,JOSÉ PRIANTE,MDB,PA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,572.40,0.00,572.40
2019,2,2019-02-12 15:27:13+00:00,FLAVIANO MELO,MDB,AC,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,67.23,0.00,67.23
2019,2,2019-02-12 14:56:16+00:00,ELI CORRÊA FILHO,DEM,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,33.76,0.00,33.76
2019,2,2019-02-12 14:55:38+00:00,MAURO LOPES,MDB,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,52.48,0.00,52.48
2019,2,2019-02-12 14:54:25+00:00,GENINHO ZULIANI,DEM,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 10 COM AR,72.05,0.00,72.05
2019,2,2019-02-12 14:53:48+00:00,GENINHO ZULIANI,DEM,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12 COM AR,72.05,0.00,72.05
2019,2,2019-02-12 14:43:38+00:00,BILAC PINTO,DEM,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,21.45,0.00,21.45
2019,2,2019-02-12 14:27:58+00:00,JÚLIO CESAR,PSD,PI,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,73.58,0.00,73.58
2019,2,2019-02-12 14:27:50+00:00,FÁBIO FARIA,PSD,RN,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA,7.70,0.00,7.70
2019,2,2019-02-12 14:24:36+00:00,RAUL HENRY,MDB,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,84.40,0.00,84.40
2019,2,2019-02-12 13:19:00+00:00,JHC,PSB,AL,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA COM AR,14.20,0.00,14.20
2019,2,2019-02-12 13:18:42+00:00,SÓSTENES CAVALCANTE,DEM,RJ,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC COM AR,40.17,0.00,40.17
2019,2,2019-02-12 13:18:22+00:00,MÁRIO HERINGER,PDT,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,50.31,0.00,50.31
2019,2,2019-02-12 12:44:44+00:00,RICARDO IZAR,PP,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,71.74,0.00,71.74
2019,2,2019-02-12 12:44:18+00:00,CARMEN ZANOTTO,PPS,SC,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,405.18,0.00,405.18
2019,2,2019-02-12 12:42:19+00:00,REGINALDO LOPES,PT,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,36.58,0.00,36.58
2019,2,2019-02-12 12:41:52+00:00,REGINALDO LOPES,PT,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,4.10,0.00,4.10
2019,2,2019-02-12 12:41:40+00:00,ABÍLIO SANTANA,PHS,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,139.76,0.00,139.76
2019,2,2019-02-12 12:40:22+00:00,WOLNEY QUEIROZ,PDT,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,50.64,0.00,50.64
2019,2,2019-02-12 12:39:51+00:00,FERNANDO RODOLFO,PHS,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL COM AR,56.39,0.00,56.39
2019,2,2019-02-12 12:16:11+00:00,EDUARDO BARBOSA,PSDB,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,78.30,0.00,78.30
2019,2,2019-02-12 12:09:41+00:00,EDUARDO BARBOSA,PSDB,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,19.32,0.00,19.32
2019,2,2019-02-12 11:36:56+00:00,DANIEL ALMEIDA,PCdoB,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,188.15,0.00,188.15
2019,2,2019-02-12 11:36:15+00:00,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,19.32,0.00,19.32
2019,2,2019-02-12 11:34:00+00:00,HÉLIO LEITE,DEM,PA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,894.12,0.00,894.12
2019,2,2019-02-12 10:16:13+00:00,MARGARIDA SALOMÃO,PT,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,124.80,0.00,124.80
2019,2,2019-02-11 17:13:35+00:00,ALIEL MACHADO,PSB,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,43.40,0.00,43.40
2019,2,2019-02-11 17:12:54+00:00,LUIS TIBÉ,AVANTE,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,24.11,0.00,24.11
2019,2,2019-02-11 17:12:18+00:00,JÚLIO DELGADO,PSB,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - TELEGRAMA,11.85,0.00,11.85
2019,2,2019-02-11 17:11:51+00:00,NEWTON CARDOSO JR,MDB,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - TELEGRAMA,11.85,0.00,11.85
2019,2,2019-02-11 17:11:27+00:00,JOÃO CARLOS BACELAR,PR,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - TELEGRAMA,11.85,0.00,11.85
2019,2,2019-02-11 16:52:45+00:00,GONZAGA PATRIOTA,PSB,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,521.28,0.00,521.28
2019,2,2019-02-11 16:52:09+00:00,GONZAGA PATRIOTA,PSB,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA COM AR,14.20,0.00,14.20
2019,2,2019-02-11 16:29:28+00:00,RUBENS BUENO,PPS,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,478.38,0.00,478.38
2019,2,2019-02-11 16:28:57+00:00,RUBENS BUENO,PPS,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,21.45,0.00,21.45
2019,2,2019-02-11 16:28:09+00:00,HERCULANO PASSOS,MDB,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,2.70,0.00,2.70
2019,2,2019-02-11 16:27:10+00:00,ZÉ SILVA,SOLIDARIEDADE,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,38.21,0.00,38.21
2019,2,2019-02-11 16:26:30+00:00,PEDRO CUNHA LIMA,PSDB,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,256.26,0.00,256.26
2019,2,2019-02-11 16:24:57+00:00,BOSCO SARAIVA,SOLIDARIEDADE,AM,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,50.64,0.00,50.64
2019,2,2019-02-11 16:21:49+00:00,MÁRCIO BIOLCHI,MDB,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL COM AR,73.31,0.00,73.31
2019,2,2019-02-11 16:21:15+00:00,MÁRCIO BIOLCHI,MDB,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,287.04,0.00,287.04
2019,2,2019-02-11 16:20:10+00:00,MARCIO ALVINO,PR,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,24.11,0.00,24.11
2019,2,2019-02-11 16:20:00+00:00,MARCIO ALVINO,PR,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,111.15,0.00,111.15
2019,2,2019-02-11 16:19:43+00:00,MARCIO ALVINO,PR,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - IMPRESSO NORMAL,20.70,0.00,20.70
2019,2,2019-02-11 16:15:57+00:00,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,247.65,0.00,247.65
2019,2,2019-02-11 16:15:31+00:00,MISAEL VARELLA,PSD,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,22.93,0.00,22.93
2019,2,2019-02-11 16:15:24+00:00,MISAEL VARELLA,PSD,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,5.10,0.00,5.10
2019,2,2019-02-11 16:15:17+00:00,SCHIAVINATO,PP,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,58.91,0.00,58.91
2019,2,2019-02-11 16:14:56+00:00,ASSIS CARVALHO,PT,PI,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,67.56,0.00,67.56
2019,2,2019-02-11 16:14:41+00:00,BOSCO SARAIVA,SOLIDARIEDADE,AM,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,4.10,0.00,4.10
2019,2,2019-02-11 16:14:31+00:00,SÉRGIO BRITO,PSD,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,78.85,0.00,78.85
2019,2,2019-02-11 16:14:22+00:00,SÉRGIO BRITO,PSD,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,131.69,0.00,131.69
2019,2,2019-02-11 14:59:31+00:00,ASSIS CARVALHO,PT,PI,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,362.18,0.00,362.18
2019,2,2019-02-11 14:50:48+00:00,GONZAGA PATRIOTA,PSB,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,643.43,0.00,643.43
2019,2,2019-02-11 14:48:14+00:00,MÁRIO HERINGER,PDT,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,46.80,0.00,46.80
2019,2,2019-02-11 14:47:39+00:00,ANGELA AMIN,PP,SC,SERVIÇOS POSTAIS,00000000000007,CORREIOS - EMS MERCADORIA,173.00,0.00,173.00
2019,2,2019-02-11 14:46:19+00:00,JÚLIO CESAR,PSD,PI,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,26.79,0.00,26.79
2019,2,2019-02-11 13:53:08+00:00,DIEGO GARCIA,PODE,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 10,30.20,0.00,30.20
2019,2,2019-02-11 13:19:40+00:00,GEOVANIA DE SÁ,PSDB,SC,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,59.97,0.00,59.97
2019,2,2019-02-11 13:19:19+00:00,PASTOR EURICO,PATRI,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA,55.00,0.00,55.00
2019,2,2019-02-11 13:18:59+00:00,PROFESSORA ROSA NEIDE,PT,MT,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,50.64,0.00,50.64
2019,2,2019-02-11 13:18:42+00:00,RONALDO CARLETTO,PP,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,38.21,0.00,38.21
2019,2,2019-02-11 13:18:23+00:00,AFONSO HAMM,PP,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,76.81,0.00,76.81
2019,2,2019-02-11 13:11:54+00:00,ALIEL MACHADO,PSB,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,6.30,0.00,6.30
2019,2,2019-02-11 13:11:30+00:00,RUBENS PEREIRA JÚNIOR,PCdoB,MA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,101.99,0.00,101.99
2019,2,2019-02-11 12:29:16+00:00,LUCAS VERGILIO,SOLIDARIEDADE,GO,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,38.21,0.00,38.21
2019,2,2019-02-11 12:28:51+00:00,IRACEMA PORTELLA,PP,PI,SERVIÇOS POSTAIS,00000000000007,CORREIOS - MALA DIRETA POSTAL BÁSICA,45.58,0.00,45.58
2019,2,2019-02-11 12:28:29+00:00,JUSCELINO FILHO,DEM,MA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,2.70,0.00,2.70
2019,2,2019-02-11 12:28:05+00:00,JERÔNIMO GOERGEN,PP,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,67.56,0.00,67.56
2019,2,2019-02-11 12:27:40+00:00,RUBENS PEREIRA JÚNIOR,PCdoB,MA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,145.68,0.00,145.68
2019,2,2019-02-11 12:22:26+00:00,ULDURICO JUNIOR,PPL,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,60.72,0.00,60.72
2019,2,2019-02-11 11:21:21+00:00,LUIZA ERUNDINA,PSOL,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12,66.30,0.00,66.30
2019,2,2019-02-11 11:20:58+00:00,ARTHUR OLIVEIRA MAIA,DEM,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,54.88,0.00,54.88
2019,2,2019-02-11 11:20:36+00:00,ROBÉRIO MONTEIRO,PDT,CE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,505.83,0.00,505.83
2019,2,2019-02-11 11:20:13+00:00,PAULO FREIRE COSTA,PR,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,80.98,0.00,80.98
2019,2,2019-02-11 11:19:55+00:00,MARGARIDA SALOMÃO,PT,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,38.21,0.00,38.21
2019,2,2019-02-11 11:14:40+00:00,JEFFERSON CAMPOS,PSB,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - MALA DIRETA POSTAL BÁSICA,438.54,0.00,438.54
2019,2,2019-02-11 11:07:33+00:00,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,54.88,0.00,54.88
2019,2,2019-02-11 10:57:26+00:00,LUIZA ERUNDINA,PSOL,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 10,66.30,0.00,66.30
2019,2,2019-02-11 00:00:00+00:00,EDUARDO BOLSONARO,PSL,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,19374791000148,LOCAR 1000 LOCADORA DE VEICULOS LTDA ME,960.00,0.00,960.00
2019,2,2019-02-11 00:00:00+00:00,CLEBER VERDE,PRB,MA,COMBUSTÍVEIS E LUBRIFICANTES.,05000684000226,AUTO POSTO PETER PAN 01 LTDA,150.00,0.00,150.00
2019,1,2019-02-11 00:00:00+00:00,JOSIAS GOMES,PT,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,05970903000119,Grand Prix Construtora e Aluguel de Veículos Ltda.,7000.00,143.00,6857.00
2019,2,2019-02-09 00:00:00+00:00,CLEBER VERDE,PRB,MA,COMBUSTÍVEIS E LUBRIFICANTES.,00306597005085,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,41.00,0.00,41.00
2019,2,2019-02-08 17:05:01+00:00,RUBENS OTONI,PT,GO,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,16.59,0.00,16.59
2019,2,2019-02-08 17:04:17+00:00,ARTHUR OLIVEIRA MAIA,DEM,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,58.91,0.00,58.91
2019,2,2019-02-08 17:04:05+00:00,GONZAGA PATRIOTA,PSB,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,178.48,0.00,178.48
2019,2,2019-02-08 17:02:18+00:00,GONZAGA PATRIOTA,PSB,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,136.20,0.00,136.20
2019,2,2019-02-08 17:01:43+00:00,ENIO VERRI,PT,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA,7.70,0.00,7.70
2019,2,2019-02-08 16:50:27+00:00,WILSON SANTIAGO,PTB,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,84.60,0.00,84.60
2019,2,2019-02-08 16:46:36+00:00,BACELAR,PODE,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,47.04,0.00,47.04
2019,2,2019-02-08 16:44:10+00:00,EDUARDO BARBOSA,PSDB,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,67.90,0.00,67.90
2019,2,2019-02-08 16:43:35+00:00,FERNANDO COELHO FILHO,DEM,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,125.20,0.00,125.20
2019,2,2019-02-08 16:39:18+00:00,SHÉRIDAN,PSDB,RR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 10,66.30,0.00,66.30
2019,2,2019-02-08 16:18:17+00:00,MARCELO ARO,PHS,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,24.11,0.00,24.11
2019,2,2019-02-08 16:09:19+00:00,CARMEN ZANOTTO,PPS,SC,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA COM AR,14.20,0.00,14.20
2019,2,2019-02-08 16:05:31+00:00,MARCON,PT,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA COM AR,14.20,0.00,14.20
2019,2,2019-02-08 16:05:06+00:00,NILSON PINTO,PSDB,PA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,50.64,0.00,50.64
2019,2,2019-02-08 16:04:28+00:00,MIGUEL LOMBARDI,PR,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,48.80,0.00,48.80
2019,2,2019-02-08 16:04:00+00:00,MARCON,PT,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA COM AR,14.20,0.00,14.20
2019,2,2019-02-08 16:03:16+00:00,NILSON PINTO,PSDB,PA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA,53.90,0.00,53.90
2019,2,2019-02-08 15:50:12+00:00,ANDRÉ DE PAULA,PSD,PE,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,1088.10,0.00,1088.10
2019,2,2019-02-08 15:40:43+00:00,MILTON VIEIRA,PRB,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA REGISTRADA,7.70,0.00,7.70
2019,2,2019-02-08 15:39:56+00:00,CARLOS SAMPAIO,PSDB,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 10,73.10,0.00,73.10
2019,2,2019-02-08 15:39:30+00:00,MARCO BERTAIOLLI,PSD,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,43.20,0.00,43.20
2019,2,2019-02-08 15:39:18+00:00,LUIZA ERUNDINA,PSOL,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,17.06,0.00,17.06
2019,2,2019-02-08 15:38:43+00:00,MARCELO MORAES,PTB,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL COM AR,73.31,0.00,73.31
2019,2,2019-02-08 15:37:25+00:00,VALMIR ASSUNÇÃO,PT,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12,442.70,0.00,442.70
2019,2,2019-02-08 15:36:03+00:00,BILAC PINTO,DEM,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,74.35,0.00,74.35
2019,2,2019-02-08 15:34:16+00:00,FÉLIX MENDONÇA JÚNIOR,PDT,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,136.50,0.00,136.50
2019,2,2019-02-08 15:29:08+00:00,HELDER SALOMÃO,PT,ES,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,67.23,0.00,67.23
2019,2,2019-02-08 15:25:28+00:00,HELDER SALOMÃO,PT,ES,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,237.21,0.00,237.21
2019,2,2019-02-08 15:24:28+00:00,TITO,AVANTE,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12 COM AR,302.25,0.00,302.25
2019,2,2019-02-08 15:22:11+00:00,CABO JUNIO AMARAL,PSL,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - CARTA COMERCIAL,8.00,0.00,8.00
2019,2,2019-02-08 15:20:25+00:00,LEONARDO MONTEIRO,PT,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,39.22,0.00,39.22
2019,2,2019-02-08 14:37:00+00:00,DR. FREDERICO,PATRI,MG,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL COM AR,48.36,0.00,48.36
2019,2,2019-02-08 14:33:57+00:00,RUBENS OTONI,PT,GO,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 10,27.10,0.00,27.10
2019,2,2019-02-08 13:31:44+00:00,DAMIÃO FELICIANO,PDT,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12 COM AR,259.45,0.00,259.45
2019,2,2019-02-08 13:31:12+00:00,DAMIÃO FELICIANO,PDT,PB,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12 COM AR,200.05,0.00,200.05
2019,2,2019-02-08 13:20:37+00:00,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 12 COM AR,72.05,0.00,72.05
2019,2,2019-02-08 13:20:16+00:00,MÁRCIO MARINHO,PRB,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,127.43,0.00,127.43
2019,2,2019-02-08 13:19:55+00:00,DANIEL ALMEIDA,PCdoB,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,1096.60,0.00,1096.60
2019,2,2019-02-08 13:19:36+00:00,POMPEO DE MATTOS,PDT,RS,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL COM AR,49.15,0.00,49.15
2019,2,2019-02-08 13:11:33+00:00,VITOR LIPPI,PSDB,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,87.80,0.00,87.80
2019,2,2019-02-08 13:10:45+00:00,EDUARDO CURY,PSDB,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,48.80,0.00,48.80
2019,2,2019-02-08 13:09:45+00:00,ROBERTO ALVES,PRB,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,43.40,0.00,43.40
2019,2,2019-02-08 13:09:03+00:00,ALEXANDRE SERFIOTIS,PSD,RJ,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX 10 COM AR,72.05,0.00,72.05
2019,2,2019-02-08 12:22:26+00:00,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,117.36,0.00,117.36
2019,2,2019-02-08 11:48:34+00:00,DANIEL ALMEIDA,PCdoB,BA,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,763.30,0.00,763.30
2019,2,2019-02-08 11:37:41+00:00,TONINHO WANDSCHEER,PROS,PR,SERVIÇOS POSTAIS,00000000000007,CORREIOS - SEDEX CONVENCIONAL,43.40,0.00,43.40
2019,2,2019-02-08 10:44:27+00:00,GLAUBER BRAGA,PSOL,RJ,SERVIÇOS POSTAIS,00000000000007,CORREIOS - ENCOMENDA PAC,698.50,0.00,698.50
2019,2,2019-02-08 00:00:00+00:00,JOSÉ ROCHA,PR,BA,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,33469172001644,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,17.54,0.00,17.54
2019,2,2019-02-08 00:00:00+00:00,EDUARDO BARBOSA,PSDB,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,12132854000100,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,420.00,0.00,420.00
